model,video,pck_mean,mpjpe_mean,matched_frames
oap,Azibo_ObsChimp_2016_05_29_d_clip_1000_2000,0.529153270101546,0.414162382533065,58
deepwild,Azibo_ObsChimp_2016_08_04_a_clip_3000_4000,0.855322128851541,0.150847044049372,85
deepwild,Azibo_ObsChimp_2016_08_04_a_clip_4000_5000,0.783333333333333,0.133112941153444,4
oap,Azibo_ObsChimp_2015_11_25_d_clip_6000_7000,,,0
oap,Azibo_ObsChimp_2016_05_29_d_clip_0_1000,0.646210162386633,0.234953430688555,34
oap,Azibo_ObsChimp_2017_05_27_b_clip_2000_3000,0.552212055621147,0.394637521638654,22
oap,Azibo_ObsChimp_2016_10_07_b_clip_1000_2000,0.610693400167084,0.326787055130615,19
oap,Azibo_ObsChimp_2016_08_04_a_clip_3000_4000,0.482995810773589,0.427022329272945,27
oap,Azibo_ObsNatascha_2018_07_16_c_clip_0_1000,0.436481851481852,0.727329368054884,60
oap,Azibo_ObsChimp_2017_09_07_a_clip_10000_11000,0.414630164630165,0.519488236623678,111
deepwild,Azibo_ObsChimp_2015_11_26_a_clip_4000_5000,0.507142857142857,0.43922047037704,4
oap,Azibo_ObsChimp_2017_09_04_a_clip_0_1000,0.636363636363636,0.306319401282949,1
deepwild,Azibo_ObsChimp_2017_09_07_a_clip_10000_11000,0.675877192982456,0.19022338324255,38
oap,Azibo_ObsChimp_2017_11_10_clip_17000_18000,0.600785138285138,0.353807983206353,74
deepwild,Azibo_ObsChimp_2017_02_27_a_clip_4000_5000,0.603174603174603,0.253620496118478,8
deepwild,Azibo_ObsChimp_2018_06_26_a_clip_4000_5000,0.685714285714286,0.353459321971142,2
oap,Azibo_ObsChimp_2015_11_26_a_clip_5000_6000,0.490581244152673,0.31936063430885,14
deepwild,Azibo_ObsChimp_2015_11_25_d_clip_6000_7000,0.761458333333333,0.252678944910253,8
oap,Azibo_ObsChimp_2016_08_02_c_clip_19000_20000,0.211952729809873,0.707094463317337,7
oap,Azibo_ObsChimp_2015_11_25_d_clip_5000_6000,0.7,0.242646737212827,1
oap,Azibo_ObsChimp_2016_05_29_d_clip_2000_3000,0.714699784342641,0.240951707423304,70
deepwild,Azibo_ObsChimp_2017_02_27_a_clip_5000_6000,0.673571428571429,0.292090263502176,5
oap,Azibo_ObsChimp_2018_06_26_a_clip_4000_5000,0.640250171284654,0.292681654558473,87
oap,Azibo_ObsChimp_2017_09_13_b_clip_2000_3000,0.674652169324301,0.262614596658621,61
deepwild,Azibo_ObsChimp_2016_08_04_a_clip_2000_3000,0.742236652236652,0.185224852635359,55
deepwild,Azibo_ObsChimp_2017_06_22_c_clip_2000_3000,0.701587301587302,0.191473028151941,5
deepwild,Azibo_ObsChimp_2017_02_27_a_clip_3000_4000,0.816955266955267,0.203557530253033,16
oap,Azibo_ObsChimp_2015_11_26_a_clip_3000_4000,0.687271062271062,0.230071686921604,10
deepwild,Azibo_ObsChimp_2017_09_13_b_clip_0_1000,0.457142857142857,0.335399435086032,4
deepwild,Azibo_ObsChimp_2017_09_07_a_clip_11000_12000,0.528792735042735,0.344141853678539,12
oap,Azibo_ObsChimp_2018_06_26_a_clip_3000_4000,0.55908322446784,0.299253210472016,65
oap,Azibo_ObsChimp_2015_11_26_a_clip_4000_5000,0.64459706959707,0.250935856019306,8
oap,Azibo_ObsChimp_2017_05_27_b_clip_1000_2000,0.606463289796623,0.354438493581136,18
oap,Azibo_ObsNatascha_2018_07_16_c_clip_2000_3000,0.39836482961483,0.809210143112201,52
deepwild,Azibo_ObsChimp_2017_06_22_c_clip_1000_2000,0.800226757369615,0.190734910846293,7
oap,Azibo_ObsChimp_2017_06_14_c_clip_0_1000,0.472624597624598,0.419958328405307,12
oap,Azibo_ObsChimp_2017_02_27_a_clip_4000_5000,0.737421426310315,0.240330792865294,27
oap,Azibo_ObsChimp_2017_02_27_a_clip_5000_6000,0.698744113029827,0.307162708177673,7
oap,Azibo_ObsNatascha_2018_07_16_c_clip_1000_2000,0.42367485822542,0.742876127639336,89
oap,Azibo_ObsChimp_2016_10_07_b_clip_0_1000,0.519117764951098,0.289315569889158,18
deepwild,Azibo_ObsChimp_2017_09_07_a_clip_9000_10000,0.596988795518207,0.274754312979458,51
deepwild,Azibo_ObsChimp_2017_05_27_b_clip_0_1000,0.635416666666667,0.231059749895839,4
deepwild,Azibo_ObsChimp_2015_11_25_d_clip_5000_6000,0.698772609819122,0.225635225025621,43
oap,Azibo_ObsChimp_2016_08_02_c_clip_18000_19000,0.352380952380952,0.718663414644994,3
oap,Azibo_ObsChimp_2017_06_22_c_clip_1000_2000,0.642430746336996,0.324392966637485,32
oap,Azibo_ObsChimp_2017_09_07_a_clip_11000_12000,0.462160363063977,0.516021272153132,83
deepwild,Azibo_ObsChimp_2017_05_27_b_clip_1000_2000,0.607539682539683,0.277062823532084,12
deepwild,Azibo_ObsChimp_2016_05_29_d_clip_2000_3000,0.687878787878788,0.184497572432896,6
oap,Azibo_ObsChimp_2016_08_04_a_clip_2000_3000,0.432863721926222,0.430055557945194,48
oap,Azibo_ObsChimp_2018_06_26_a_clip_5000_6000,0.475353224216861,0.477204746598207,66
oap,Azibo_ObsChimp_2016_08_04_a_clip_4000_5000,0.534391534391534,0.324289246913792,6
oap,Azibo_ObsChimp_2017_11_10_clip_15000_16000,0.5944854365907,0.360743837102625,57
oap,Azibo_ObsChimp_2017_02_27_a_clip_3000_4000,0.730922648779792,0.227610153034592,28
deepwild,Azibo_ObsChimp_2017_05_27_b_clip_2000_3000,0.665347490347491,0.280592439408354,37
oap,Azibo_ObsChimp_2017_09_04_a_clip_2000_3000,,,0
oap,Azibo_ObsChimp_2017_11_10_clip_16000_17000,0.563005982408968,0.344346752634639,67
oap,Azibo_ObsChimp_2016_10_07_b_clip_2000_3000,0.636356397225963,0.278052386022755,23
oap,Azibo_ObsChimp_2017_06_22_c_clip_2000_3000,0.606449640103486,0.344669730207617,26
oap,Azibo_ObsChimp_2017_09_13_b_clip_1000_2000,0.638488668194551,0.258725276786032,85
oap,Azibo_ObsChimp_2017_06_14_c_clip_1000_2000,0.484132071632072,0.41873529218256,36
oap,Azibo_ObsChimp_2017_05_27_b_clip_0_1000,0.570799835085549,0.351905893813966,35
oap,Azibo_ObsChimp_2016_08_02_c_clip_20000_21000,0.394928148774303,0.712909407960616,13
oap,Azibo_ObsChimp_2017_06_14_c_clip_6000_7000,1,0.052581205994559,1
deepwild,Azibo_ObsChimp_2017_06_22_c_clip_0_1000,0.736655618686869,0.177719586986231,32
deepwild,Azibo_ObsChimp_2017_06_14_c_clip_1000_2000,0.288888888888889,0.413960908474623,5
deepwild,Azibo_ObsChimp_2015_11_26_a_clip_5000_6000,0.655238095238095,0.28106369765923,5
oap,Azibo_ObsChimp_2017_09_04_a_clip_1000_2000,0.646428571428571,0.212681176364019,5
oap,Azibo_ObsChimp_2017_06_22_c_clip_0_1000,0.747002997002997,0.256109662718052,22
oap,Azibo_ObsChimp_2017_09_07_a_clip_9000_10000,0.335285021491918,0.625217032106445,58
oap,Azibo_ObsChimp_2017_09_13_b_clip_0_1000,0.487747668997669,0.581939621316539,44
deepwild,Azibo_ObsChimp_2017_09_13_b_clip_2000_3000,0.479166666666667,0.375891784433469,2
deepwild,Azibo_ObsChimp_2018_06_26_a_clip_3000_4000,0.668367346938775,0.23067983981164,7
