deepwild
Azibo_ObsChimp_2015_11_25_d_clip_5000_6000
frame,predicted_individual_index,ground_truth_individual_index,mpjpe,pck
000000.jpg,0,1,0.28185449243304816,0.75
000010.jpg,0,1,0.24604452903501972,0.6666666666666666
000020.jpg,0,1,0.23494186509198198,0.7142857142857143
000030.jpg,0,1,0.3126129600110079,0.6666666666666666
000040.jpg,0,1,0.2638021196651396,0.5555555555555556
000050.jpg,0,1,0.13676842126561906,0.8
000060.jpg,0,1,0.16248682526706285,0.8333333333333334
000070.jpg,0,1,0.2371037654725714,0.5
000080.jpg,0,1,0.33498430996914774,0.7142857142857143
000090.jpg,0,1,0.301986520603509,0.5714285714285714
000100.jpg,0,1,0.2587598548065274,0.5714285714285714
000110.jpg,0,1,0.3841180636432888,0.375
000120.jpg,0,1,0.2273680990436537,0.8333333333333334
000130.jpg,0,1,0.14484506458380997,0.8
000140.jpg,0,1,0.25241554524697324,0.5714285714285714
000150.jpg,0,1,0.2416030529549356,0.7142857142857143
000160.jpg,0,1,0.19536700459148146,0.6666666666666666
000170.jpg,0,1,0.2619179088138333,0.5714285714285714
000180.jpg,0,1,0.11394473229762032,0.8
000190.jpg,0,1,0.1733806726875455,0.6
000200.jpg,0,1,0.1372079964523282,0.8
000210.jpg,1,1,0.28934984475607894,0.5
000220.jpg,1,1,0.22317783762028162,0.5
000230.jpg,1,1,0.15234171526066181,0.8333333333333334
000510.jpg,2,2,0.2900660794205438,0.5
000540.jpg,3,2,0.2907052157312805,0.6666666666666666
000550.jpg,3,2,0.2727800993519828,0.8
000560.jpg,3,2,0.1347068449786041,0.6666666666666666
000570.jpg,3,2,0.21835986505820218,0.6666666666666666
000580.jpg,3,2,0.19666166553136274,0.8
000590.jpg,3,2,0.2212248184006483,0.6666666666666666
000600.jpg,3,2,0.12691971675653277,0.8333333333333334
000610.jpg,3,2,0.21675071328368725,0.8333333333333334
000620.jpg,4,2,0.20528503571086312,0.8333333333333334
000630.jpg,4,2,0.13674665653302578,0.8333333333333334
000640.jpg,4,2,0.23048098811436632,0.7142857142857143
000650.jpg,4,2,0.19526552412724973,0.8333333333333334
000660.jpg,4,2,0.2204574468133256,0.7142857142857143
000670.jpg,4,2,0.22438854630760882,0.8333333333333334
000680.jpg,4,2,0.38682877270158783,0.7142857142857143
000690.jpg,5,2,0.22969158397905703,0.7142857142857143
000700.jpg,5,2,0.22565883668265765,0.7142857142857143
000830.jpg,6,2,0.11095306504599992,0.8
