video,location,sun,background,camera_motion,clustering
Azibo_ObsChimp_2015_11_25_d_clip_5000_6000,outdoor,no,complex,no,no
Azibo_ObsChimp_2015_11_25_d_clip_6000_7000,outdoor,no,complex,no,no
Azibo_ObsChimp_2015_11_25_d_clip_7000_8000,outdoor,no,complex,no,no
Azibo_ObsChimp_2015_11_26_a_clip_3000_4000,indoor,no,complex,no,yes
Azibo_ObsChimp_2015_11_26_a_clip_4000_5000,indoor,no,complex,no,yes
Azibo_ObsChimp_2015_11_26_a_clip_5000_6000,indoor,no,complex,no,yes
Azibo_ObsChimp_2016_05_29_d_clip_0_1000,indoor,no,simple,yes,no
Azibo_ObsChimp_2016_05_29_d_clip_1000_2000,indoor,no,simple,yes,no
Azibo_ObsChimp_2016_05_29_d_clip_2000_3000,indoor,no,simple,no,no
Azibo_ObsChimp_2016_08_02_c_clip_18000_19000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2016_08_02_c_clip_19000_20000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2016_08_02_c_clip_20000_21000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2016_08_04_a_clip_2000_3000,indoor,no,complex,no,no
Azibo_ObsChimp_2016_08_04_a_clip_3000_4000,indoor,no,complex,no,no
Azibo_ObsChimp_2016_08_04_a_clip_4000_5000,indoor,no,complex,no,no
Azibo_ObsChimp_2016_10_07_b_clip_0_1000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2016_10_07_b_clip_1000_2000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2016_10_07_b_clip_2000_3000,outdoor,no,simple,no,yes
Azibo_ObsChimp_2017_02_27_a_clip_3000_4000,indoor,no,complex,yes,no
Azibo_ObsChimp_2017_02_27_a_clip_4000_5000,indoor,no,complex,no,no
Azibo_ObsChimp_2017_02_27_a_clip_5000_6000,indoor,no,complex,yes,no
Azibo_ObsChimp_2017_05_27_b_clip_0_1000,outdoor,yes,simple,yes,no
Azibo_ObsChimp_2017_05_27_b_clip_1000_2000,outdoor,yes,simple,yes,no
Azibo_ObsChimp_2017_05_27_b_clip_2000_3000,outdoor,yes,simple,yes,no
Azibo_ObsChimp_2017_06_14_c_clip_0_1000,outdoor,yes,simple,yes,no
Azibo_ObsChimp_2017_06_14_c_clip_1000_2000,outdoor,yes,simple,yes,no
Azibo_ObsChimp_2017_06_14_c_clip_6000_7000,outdoor,yes,complex,no,no
Azibo_ObsChimp_2017_06_22_c_clip_0_1000,indoor,no,simple,no,no
Azibo_ObsChimp_2017_06_22_c_clip_1000_2000,indoor,no,simple,no,no
Azibo_ObsChimp_2017_06_22_c_clip_2000_3000,indoor,no,simple,no,no
Azibo_ObsChimp_2017_09_04_a_clip_0_1000,outdoor,yes,complex,yes,no
Azibo_ObsChimp_2017_09_04_a_clip_1000_2000,outdoor,yes,complex,no,no
Azibo_ObsChimp_2017_09_04_a_clip_2000_3000,outdoor,yes,complex,no,no
Azibo_ObsChimp_2017_09_07_a_clip_10000_11000,indoor,no,simple,no,yes
Azibo_ObsChimp_2017_09_07_a_clip_11000_12000,indoor,no,simple,no,yes
Azibo_ObsChimp_2017_09_07_a_clip_9000_10000,indoor,no,simple,no,yes
Azibo_ObsChimp_2017_09_13_b_clip_0_1000,indoor,no,complex,yes,yes
Azibo_ObsChimp_2017_09_13_b_clip_1000_2000,indoor,no,complex,no,yes
Azibo_ObsChimp_2017_09_13_b_clip_2000_3000,indoor,no,complex,no,yes
Azibo_ObsChimp_2017_11_10_clip_15000_16000,indoor,no,simple,yes,yes
Azibo_ObsChimp_2017_11_10_clip_16000_17000,indoor,no,simple,no,yes
Azibo_ObsChimp_2017_11_10_clip_17000_18000,indoor,no,simple,no,yes
Azibo_ObsChimp_2018_06_26_a_clip_3000_4000,indoor,no,simple,no,no
Azibo_ObsChimp_2018_06_26_a_clip_4000_5000,indoor,no,simple,yes,no
Azibo_ObsChimp_2018_06_26_a_clip_5000_6000,indoor,no,simple,no,no
Azibo_ObsNatascha_2018_07_16_c_clip_0_1000,outdoor,yes,simple,no,yes
Azibo_ObsNatascha_2018_07_16_c_clip_1000_2000,outdoor,yes,simple,no,yes
Azibo_ObsNatascha_2018_07_16_c_clip_2000_3000,outdoor,yes,simple,no,yes
